Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,RMSD_minus,complete_name
Chen,2,3.343,18,4.206,18,0.795,16,0.906,15,0.577,13,0.767,20,0.0,1,18.967,15,0.739,2,0.0,1,0.0,0,PZ25,-3.343,PZ25_Chen_2
Bujnicki,4,3.472,19,4.333,20,0.801,15,0.85,32,0.612,10,0.804,10,5.87,16,17.416,8,0.558,26,0.0,1,0.0,0,PZ25,-3.472,PZ25_Bujnicki_4
Chen,6,3.477,20,4.209,19,0.826,7,0.906,15,0.577,13,0.812,8,0.0,1,19.438,21,0.621,12,0.0,1,0.0,0,PZ25,-3.477,PZ25_Chen_6
Das,5,3.529,21,4.617,21,0.764,22,0.9,20,0.671,2,0.722,24,5.43,15,17.053,6,0.581,19,0.0,1,0.0,0,PZ25,-3.529,PZ25_Das_5
Das,7,3.7,22,4.84,22,0.764,22,0.9,20,0.567,23,0.736,21,7.24,18,16.809,2,0.571,21,0.0,1,0.0,0,PZ25,-3.7,PZ25_Das_7
Das,8,4.211,23,5.438,23,0.774,20,0.9,20,0.671,2,0.736,21,9.05,23,17.66,10,0.562,25,0.0,1,0.0,0,PZ25,-4.211,PZ25_Das_8
Xiao,1,4.522,24,7.844,27,0.576,47,0.693,47,0.0,29,0.561,46,14.47,34,21.725,35,0.606,14,0.0,1,0.0,0,PZ25,-4.522,PZ25_Xiao_1
Xiao,4,4.644,25,7.164,26,0.648,40,0.783,41,0.0,29,0.63,40,14.01,32,22.736,40,0.573,20,0.0,1,0.0,0,PZ25,-4.644,PZ25_Xiao_4
Xiao,5,4.646,26,7.068,24,0.657,37,0.783,41,0.0,29,0.643,36,14.91,37,22.526,38,0.569,22,0.0,1,0.0,0,PZ25,-4.646,PZ25_Xiao_5
Xiao,3,4.647,27,7.069,25,0.657,37,0.783,41,0.0,29,0.643,36,14.46,33,22.467,37,0.569,22,0.0,1,0.0,0,PZ25,-4.647,PZ25_Xiao_3
Das,1,5.748,28,7.927,28,0.725,28,0.872,30,0.612,10,0.685,28,9.05,23,19.277,19,0.569,22,0.0,1,0.0,0,PZ25,-5.748,PZ25_Das_1
Das,9,5.951,29,8.468,29,0.703,33,0.896,26,0.671,2,0.636,39,14.49,35,18.834,14,0.545,28,0.0,1,0.0,0,PZ25,-5.951,PZ25_Das_9
Das,6,6.638,30,8.888,31,0.747,26,0.896,26,0.5,24,0.729,23,9.51,26,19.504,23,0.526,30,0.0,1,0.0,0,PZ25,-6.638,PZ25_Das_6
Das,3,6.646,31,8.82,30,0.754,24,0.923,13,0.75,1,0.692,27,9.05,23,19.161,18,0.48,33,0.0,1,0.0,0,PZ25,-6.646,PZ25_Das_3
Das,10,6.887,32,9.618,33,0.716,31,0.896,26,0.671,2,0.655,32,56.36,41,20.363,29,0.512,31,0.0,1,0.0,0,PZ25,-6.887,PZ25_Das_10
Das,2,7.02,33,10.985,34,0.639,46,0.808,38,0.5,24,0.59,44,124.6,43,21.695,34,0.421,34,0.0,1,0.0,0,PZ25,-7.02,PZ25_Das_2
Das,4,7.17,34,9.539,32,0.752,25,0.896,26,0.671,2,0.709,25,4.98,14,17.361,7,0.5,32,0.0,1,0.0,0,PZ25,-7.17,PZ25_Das_4
iFoldRNA,1,7.643,35,11.535,35,0.663,36,0.8,39,0.0,29,0.648,34,1.35,12,30.03,46,0.284,39,0.0,1,0.0,0,PZ25,-7.643,PZ25_iFoldRNA_1
SimRNA,1,7.796,36,12.161,37,0.641,43,0.732,46,0.0,29,0.642,38,145.96,47,22.954,41,0.275,41,0.0,1,0.0,0,PZ25,-7.796,PZ25_SimRNA_1
RNAComposer,1,8.23,37,12.799,38,0.643,42,0.843,35,-1.0,43,0.584,45,10.84,28,27.67,44,0.287,38,0.0,1,0.0,0,PZ25,-8.23,PZ25_RNAComposer_1
Ding,2,8.577,38,11.959,36,0.717,30,0.95,4,0.0,29,0.658,31,13.09,30,22.355,36,0.277,40,0.0,1,5.551e-17,0,PZ25,-8.577,PZ25_Ding_2
RNAComposer,3,8.646,39,13.509,41,0.64,45,0.9,20,-1.0,43,0.545,47,18.51,40,36.299,47,0.261,43,0.0,1,5.551e-17,0,PZ25,-8.646,PZ25_RNAComposer_3
SimRNA,5,8.76,40,13.483,39,0.65,39,0.75,45,0.0,29,0.648,34,138.15,45,22.626,39,0.243,45,0.0,1,5.551e-17,0,PZ25,-8.76,PZ25_SimRNA_5
SimRNA,3,9.637,41,13.583,42,0.709,32,0.9,20,-1.0,43,0.662,30,129.63,44,26.692,43,0.263,42,0.0,1,3.997e-15,0,PZ25,-9.637,PZ25_SimRNA_3
SimRNA,4,9.649,42,14.955,45,0.645,41,0.8,39,0.0,29,0.617,43,116.82,42,20.243,26,0.239,46,0.0,1,4.274e-15,0,PZ25,-9.649,PZ25_SimRNA_4
SimRNA,2,9.835,43,13.697,43,0.718,29,0.83,37,0.0,29,0.709,25,141.56,46,24.458,42,0.295,36,0.0,1,9.548e-15,0,PZ25,-9.835,PZ25_SimRNA_2
Ding,3,9.843,44,13.508,40,0.729,27,0.923,13,-1.0,43,0.679,29,10.38,27,20.899,32,0.217,47,0.0,1,9.881e-15,0,PZ25,-9.843,PZ25_Ding_3
RNAComposer,2,10.022,45,14.501,44,0.691,35,0.843,35,-1.0,43,0.654,33,17.16,39,28.276,45,0.347,35,0.0,1,2.132e-14,0,PZ25,-10.022,PZ25_RNAComposer_2
Ding,1,10.56,46,15.25,46,0.692,34,0.95,4,0.0,29,0.623,42,8.58,21,20.249,27,0.245,44,0.0,1,2.024e-13,0,PZ25,-10.56,PZ25_Ding_1
Xiao,2,24.844,47,38.763,47,0.641,43,0.759,44,0.0,29,0.63,40,0.0,1,21.169,33,0.293,37,0.0,1,0.7522,0,PZ25,-24.844,PZ25_Xiao_2
TFN,3,12.458,1,15.035,1,0.829,11,0.969,7,0.816,14,0.767,12,3.1,38,18.0,16,0.661,17,0.0,1,0.0,0,PZ26,-12.458,PZ26_TFN_3
TFN,7,12.76,2,15.765,2,0.809,30,0.958,18,0.816,14,0.744,37,2.14,19,18.046,20,0.661,17,0.0,1,0.0,0,PZ26,-12.76,PZ26_TFN_7
Das,9,13.342,3,16.004,3,0.834,6,0.969,7,0.816,14,0.77,10,2.14,19,16.553,3,0.653,41,0.0,1,0.0,0,PZ26,-13.342,PZ26_Das_9
Bujnicki,5,13.983,4,16.874,4,0.829,11,0.968,16,0.833,12,0.767,12,0.0,1,20.623,35,0.655,40,0.0,1,0.0,0,PZ26,-13.983,PZ26_Bujnicki_5
Das,2,14.318,5,17.814,5,0.804,40,0.948,31,0.667,45,0.747,29,2.62,31,17.65,11,0.661,17,0.0,1,0.0,0,PZ26,-14.318,PZ26_Das_2
FARFAR2,1,14.318,5,17.814,5,0.804,40,0.948,31,0.667,45,0.747,29,2.62,31,17.65,11,0.661,17,0.0,1,0.0,0,PZ26,-14.318,PZ26_FARFAR2_1
TFN,8,14.728,7,18.358,9,0.802,45,0.948,31,0.816,14,0.734,46,3.57,41,18.67,27,0.665,11,0.0,1,0.0,0,PZ26,-14.728,PZ26_TFN_8
FARFAR2,5,14.889,8,18.452,11,0.807,33,0.927,44,0.816,14,0.753,24,1.19,10,18.146,23,0.663,13,0.0,1,0.0,0,PZ26,-14.889,PZ26_FARFAR2_5
FARFAR2,8,14.974,9,18.613,13,0.805,36,0.958,18,0.73,31,0.741,40,3.1,38,18.03,19,0.66,25,0.0,1,0.0,0,PZ26,-14.974,PZ26_FARFAR2_8
Bujnicki,3,15.231,10,17.988,7,0.847,2,0.989,1,0.913,1,0.782,4,1.43,12,19.548,32,0.681,5,0.0,1,0.0,0,PZ26,-15.231,PZ26_Bujnicki_3
Das,1,15.278,11,18.563,12,0.823,18,0.969,7,0.73,31,0.759,21,1.91,18,16.499,2,0.652,42,0.0,1,0.0,0,PZ26,-15.278,PZ26_Das_1
Das,5,15.29,12,18.799,14,0.813,26,0.969,7,0.73,31,0.747,29,1.67,15,18.007,17,0.66,25,0.0,1,0.0,0,PZ26,-15.29,PZ26_Das_5
FARFAR2,3,15.29,12,18.799,14,0.813,26,0.969,7,0.73,31,0.747,29,1.67,15,18.007,17,0.66,25,0.0,1,0.0,0,PZ26,-15.29,PZ26_FARFAR2_3
Bujnicki,2,15.442,14,18.376,10,0.84,4,0.936,42,0.913,1,0.795,2,0.95,7,19.997,34,0.679,6,0.0,1,0.0,0,PZ26,-15.442,PZ26_Bujnicki_2
Das,3,15.662,15,18.844,16,0.831,8,0.979,2,0.816,14,0.767,12,2.14,19,18.581,25,0.651,43,0.0,1,0.0,0,PZ26,-15.662,PZ26_Das_3
FARFAR2,10,15.662,15,18.844,16,0.831,8,0.979,2,0.816,14,0.767,12,2.14,19,18.581,25,0.651,43,0.0,1,0.0,0,PZ26,-15.662,PZ26_FARFAR2_10
Bujnicki,4,15.721,17,18.894,18,0.832,7,0.969,7,0.833,12,0.772,9,0.0,1,19.893,33,0.66,25,0.0,1,0.0,0,PZ26,-15.721,PZ26_Bujnicki_4
TFN,1,15.811,18,19.731,20,0.801,46,0.969,7,0.816,14,0.724,51,2.38,29,17.994,15,0.661,17,0.0,1,0.0,0,PZ26,-15.811,PZ26_TFN_1
SimRNA,1,16.196,19,21.563,31,0.751,52,0.891,55,-1.0,56,0.706,52,127.24,63,22.743,41,0.249,66,0.0,1,0.0,0,PZ26,-16.196,PZ26_SimRNA_1
Das,7,16.37,20,20.089,22,0.815,24,0.969,7,0.816,14,0.747,29,1.43,12,17.503,6,0.657,36,0.0,1,0.0,0,PZ26,-16.37,PZ26_Das_7
FARFAR2,6,16.37,20,20.089,22,0.815,24,0.969,7,0.816,14,0.747,29,1.43,12,17.503,6,0.657,36,0.0,1,0.0,0,PZ26,-16.37,PZ26_FARFAR2_6
Bujnicki,1,16.562,22,19.56,19,0.847,2,0.979,2,0.913,1,0.785,3,0.0,1,19.462,31,0.666,9,0.0,1,0.0,0,PZ26,-16.562,PZ26_Bujnicki_1
Das,4,16.859,23,20.83,24,0.809,30,0.948,31,0.73,31,0.75,25,2.14,19,17.532,8,0.66,25,0.0,1,0.0,0,PZ26,-16.859,PZ26_Das_4
FARFAR2,2,16.859,23,20.83,24,0.809,30,0.948,31,0.73,31,0.75,25,2.14,19,17.532,8,0.66,25,0.0,1,0.0,0,PZ26,-16.859,PZ26_FARFAR2_2
Das,6,17.072,25,21.263,29,0.803,42,0.927,44,0.73,31,0.75,25,0.71,4,17.409,4,0.661,17,0.0,1,0.0,0,PZ26,-17.072,PZ26_Das_6
FARFAR2,4,17.072,25,21.263,29,0.803,42,0.927,44,0.73,31,0.75,25,0.71,4,17.409,4,0.661,17,0.0,1,0.0,0,PZ26,-17.072,PZ26_FARFAR2_4
TFN,6,17.111,27,20.885,27,0.819,22,0.957,23,0.816,14,0.76,20,5.48,44,18.83,29,0.66,25,0.0,1,0.0,0,PZ26,-17.111,PZ26_TFN_6
TFN,4,17.319,28,20.843,26,0.831,8,0.979,2,0.816,14,0.764,16,2.14,19,17.82,14,0.667,8,0.0,1,0.0,0,PZ26,-17.319,PZ26_TFN_4
Ding,2,17.364,29,25.17,47,0.69,56,0.874,56,-1.0,56,0.619,57,10.72,52,24.608,51,0.352,60,0.0,1,0.0,0,PZ26,-17.364,PZ26_Ding_2
Das,10,17.501,30,21.163,28,0.827,16,0.979,2,0.73,31,0.759,21,2.86,36,16.477,1,0.657,36,0.0,1,0.0,0,PZ26,-17.501,PZ26_Das_10
Das,8,17.647,31,21.934,33,0.805,36,0.958,18,0.73,31,0.741,40,0.95,7,18.085,21,0.659,33,0.0,1,0.0,0,PZ26,-17.647,PZ26_Das_8
FARFAR2,7,17.647,31,21.934,33,0.805,36,0.958,18,0.73,31,0.741,40,0.95,7,18.085,21,0.659,33,0.0,1,0.0,0,PZ26,-17.647,PZ26_FARFAR2_7
TFN,2,17.739,33,21.983,35,0.807,33,0.958,18,0.816,14,0.741,40,2.86,36,17.632,10,0.664,12,0.0,1,0.0,0,PZ26,-17.739,PZ26_TFN_2
TFN,9,18.103,34,22.435,38,0.807,33,0.948,31,0.73,31,0.747,29,3.57,41,18.933,30,0.659,33,0.0,1,0.0,0,PZ26,-18.103,PZ26_TFN_9
Chen,5,18.131,35,21.908,32,0.828,14,0.922,47,0.913,1,0.779,5,5.73,45,25.531,61,0.666,9,0.0,1,0.0,0,PZ26,-18.131,PZ26_Chen_5
SimRNA,5,18.242,36,18.242,8,-1.0,63,-1.0,63,-1.0,56,-1.0,63,156.73,67,22.068,38,0.29,62,0.0,1,0.0,0,PZ26,-18.242,PZ26_SimRNA_5
Chen,9,18.34,37,22.13,37,0.829,11,0.945,39,0.816,14,0.775,8,2.14,19,25.48,60,0.613,48,0.0,1,0.0,0,PZ26,-18.34,PZ26_Chen_9
Chen,2,18.479,38,22.788,39,0.811,28,0.957,23,0.913,1,0.736,45,3.1,38,24.209,46,0.663,13,0.0,1,0.0,0,PZ26,-18.479,PZ26_Chen_2
SimRNA,3,18.68,39,27.154,53,0.688,57,0.863,57,0.0,52,0.639,55,114.72,61,24.746,53,0.262,64,0.0,1,0.0,0,PZ26,-18.68,PZ26_SimRNA_3
Adamiak,1,18.711,40,22.812,40,0.82,20,0.957,23,0.577,47,0.763,17,10.25,51,23.321,44,0.577,52,0.0,1,0.0,0,PZ26,-18.711,PZ26_Adamiak_1
Adamiak,3,18.809,41,22.121,36,0.85,1,0.957,23,0.707,44,0.806,1,8.1,46,21.557,37,0.732,1,0.0,1,0.0,0,PZ26,-18.809,PZ26_Adamiak_3
RNAComposer,3,19.043,42,23.796,43,0.8,47,0.922,47,0.816,14,0.742,39,9.06,47,22.978,42,0.703,3,0.0,1,0.0,0,PZ26,-19.043,PZ26_RNAComposer_3
Adamiak,2,19.074,43,23.285,41,0.819,22,0.957,23,0.577,47,0.763,17,9.77,50,26.177,62,0.584,50,0.0,1,0.0,0,PZ26,-19.074,PZ26_Adamiak_2
Ding,1,19.338,44,26.229,50,0.737,53,0.91,52,0.0,52,0.679,53,13.35,54,22.411,39,0.377,58,0.0,1,5.551e-17,0,PZ26,-19.338,PZ26_Ding_1
FARFAR2,9,19.901,45,24.934,46,0.798,49,0.948,31,0.73,31,0.734,46,2.62,31,17.739,13,0.66,25,0.0,1,4.441e-16,0,PZ26,-19.901,PZ26_FARFAR2_9
TFN,10,20.003,46,20.003,21,-1.0,63,-1.0,63,-1.0,56,-1.0,63,2.14,19,18.427,24,0.661,17,0.0,1,6.661e-16,0,PZ26,-20.003,PZ26_TFN_10
Ding,3,20.186,47,28.703,58,0.703,55,0.91,52,0.0,52,0.631,56,14.78,55,23.086,43,0.374,59,0.0,1,1.499e-15,0,PZ26,-20.186,PZ26_Ding_3
Xiao,3,20.615,48,37.458,63,0.55,59,0.523,59,-1.0,56,0.584,59,18.36,56,28.575,65,0.522,53,0.0,1,9.992e-15,0,PZ26,-20.615,PZ26_Xiao_3
Adamiak,4,20.621,49,24.892,45,0.828,14,0.957,23,0.577,47,0.777,6,9.53,49,24.694,52,0.583,51,0.0,1,1.021e-14,0,PZ26,-20.621,PZ26_Adamiak_4
RNAComposer,1,20.651,50,26.023,49,0.794,50,0.922,47,0.577,47,0.743,38,9.29,48,21.544,36,0.714,2,0.0,1,1.166e-14,0,PZ26,-20.651,PZ26_RNAComposer_1
SimRNA,2,21.398,51,29.855,62,0.717,54,0.91,52,0.0,52,0.664,54,146.53,66,25.333,58,0.282,63,0.0,1,2.677e-13,0,PZ26,-21.398,PZ26_SimRNA_2
Chen,6,21.399,52,26.567,52,0.805,36,0.957,23,0.913,1,0.726,49,2.14,19,25.19,56,0.614,47,0.0,1,2.687e-13,0,PZ26,-21.399,PZ26_Chen_6
Chen,10,21.417,53,25.524,48,0.839,5,0.967,17,0.913,1,0.776,7,2.62,31,25.369,59,0.616,46,0.0,1,2.893e-13,0,PZ26,-21.417,PZ26_Chen_10
Chen,1,21.553,54,26.261,51,0.821,19,0.934,43,0.913,1,0.762,19,3.57,41,25.318,57,0.662,15,0.0,1,5.018e-13,0,PZ26,-21.553,PZ26_Chen_1
Chen,4,21.857,55,27.32,54,0.8,47,0.945,39,0.913,1,0.726,49,2.62,31,24.371,49,0.67,7,0.0,1,1.693e-12,0,PZ26,-21.857,PZ26_Chen_4
Chen,8,22.123,56,27.546,55,0.803,42,0.922,47,0.816,14,0.746,36,0.71,4,24.333,48,0.612,49,0.0,1,4.779e-12,0,PZ26,-22.123,PZ26_Chen_8
RNAComposer,2,22.138,57,28.045,57,0.789,51,0.922,47,0.577,47,0.737,44,11.44,53,22.65,40,0.69,4,0.0,1,5.068e-12,0,PZ26,-22.138,PZ26_RNAComposer_2
Xiao,5,22.586,58,41.039,64,0.55,59,0.523,59,-1.0,56,0.584,59,25.99,60,28.575,65,0.522,53,0.0,1,2.761e-11,0,PZ26,-22.586,PZ26_Xiao_5
TFN,5,22.851,59,27.708,56,0.825,17,0.948,31,0.816,14,0.77,10,1.67,15,18.774,28,0.662,15,0.0,1,7.33e-11,0,PZ26,-22.851,PZ26_TFN_5
iFoldRNA,1,23.467,60,23.467,42,-1.0,63,-1.0,63,-1.0,56,-1.0,63,116.38,62,23.574,45,0.316,61,0.0,1,6.536e-10,0,PZ26,-23.467,PZ26_iFoldRNA_1
Chen,3,23.705,61,28.896,59,0.82,20,0.945,39,0.913,1,0.757,23,2.38,29,24.212,47,0.656,39,0.0,1,1.479e-09,0,PZ26,-23.705,PZ26_Chen_3
Chen,7,23.79,62,29.38,61,0.81,29,0.956,30,0.913,1,0.734,46,1.19,10,25.143,55,0.618,45,0.0,1,1.966e-09,0,PZ26,-23.79,PZ26_Chen_7
iFoldRNA,2,24.59,63,24.59,44,-1.0,63,-1.0,63,-1.0,56,-1.0,63,128.55,64,24.854,54,0.257,65,0.0,1,2.623e-08,0,PZ26,-24.59,PZ26_iFoldRNA_2
Xiao,2,28.116,64,51.089,65,0.55,59,0.501,62,-1.0,56,0.59,58,19.08,57,27.946,64,0.522,53,0.0,1,0.0002473,0,PZ26,-28.116,PZ26_Xiao_2
SimRNA,4,29.115,65,29.115,60,-1.0,63,-1.0,63,-1.0,56,-1.0,63,143.37,65,24.386,50,0.196,67,0.0,1,0.001703,0,PZ26,-29.115,PZ26_SimRNA_4
Xiao,1,29.533,66,51.963,66,0.568,58,0.636,58,-1.0,56,0.564,62,22.88,59,27.101,63,0.522,53,0.0,1,0.003503,0,PZ26,-29.533,PZ26_Xiao_1
Xiao,4,29.841,67,54.223,67,0.55,59,0.523,59,-1.0,56,0.584,59,22.65,58,28.575,65,0.522,53,0.0,1,0.005778,0,PZ26,-29.841,PZ26_Xiao_4
Das,6,13.2,1,17.737,2,0.744,48,0.831,54,0.0,1,0.722,27,0.52,4,17.751,6,0.308,1,0.0,1,1.555e-06,0,PZ26tBox,-13.2,PZ26tBox_Das_6
FARFAR2,4,13.2,1,17.737,2,0.744,48,0.831,54,0.0,1,0.722,27,0.52,4,17.751,6,0.308,1,0.0,1,1.555e-06,0,PZ26tBox,-13.2,PZ26tBox_FARFAR2_4
FARFAR2,8,13.397,3,17.886,5,0.749,45,0.901,29,0.0,1,0.701,45,5.15,41,18.711,15,0.216,41,0.0,1,2.631e-06,0,PZ26tBox,-13.397,PZ26tBox_FARFAR2_8
TFN,3,13.967,4,17.377,1,0.804,6,0.929,10,-1.0,19,0.758,8,4.12,35,19.18,22,0.199,58,0.0,1,1.13e-05,0,PZ26tBox,-13.967,PZ26tBox_TFN_3
SimRNA,4,14.219,5,19.05,8,0.746,46,0.901,29,-1.0,19,0.683,49,136.08,64,22.455,43,0.28,6,0.0,1,2.089e-05,0,PZ26tBox,-14.219,PZ26tBox_SimRNA_4
TFN,7,14.567,6,19.074,9,0.764,31,0.901,29,-1.0,19,0.716,30,3.09,25,18.999,19,0.207,51,0.0,1,4.731e-05,0,PZ26tBox,-14.567,PZ26tBox_TFN_7
Chen,9,14.85,7,18.301,7,0.811,4,0.895,36,-1.0,19,0.781,2,4.12,35,27.599,61,0.184,67,0.0,1,8.958e-05,0,PZ26tBox,-14.85,PZ26tBox_Chen_9
FARFAR2,5,15.695,8,20.816,20,0.754,40,0.831,54,-1.0,19,0.729,19,1.03,7,18.081,9,0.3,3,0.0,1,0.0005239,0,PZ26tBox,-15.695,PZ26tBox_FARFAR2_5
Das,5,15.759,9,20.498,16,0.769,27,0.929,10,0.0,1,0.715,34,1.55,13,19.172,20,0.211,48,0.0,1,0.0005937,0,PZ26tBox,-15.759,PZ26tBox_Das_5
FARFAR2,3,15.759,9,20.498,16,0.769,27,0.929,10,0.0,1,0.715,34,1.55,13,19.172,20,0.211,48,0.0,1,0.0005937,0,PZ26tBox,-15.759,PZ26tBox_FARFAR2_3
SimRNA,2,15.806,11,21.176,25,0.746,46,0.947,8,0.0,1,0.675,52,166.84,67,24.252,51,0.254,15,0.0,1,0.0006503,0,PZ26tBox,-15.806,PZ26tBox_SimRNA_2
TFN,4,15.934,12,19.59,11,0.813,3,0.951,2,-1.0,19,0.76,7,3.09,25,20.22,31,0.215,43,0.0,1,0.0008322,0,PZ26tBox,-15.934,PZ26tBox_TFN_4
Adamiak,4,15.963,13,20.547,19,0.777,21,0.923,19,-1.0,19,0.713,36,8.76,50,24.914,53,0.258,14,0.0,1,0.0008789,0,PZ26tBox,-15.963,PZ26tBox_Adamiak_4
Ding,3,16.011,14,21.83,35,0.733,54,0.895,36,0.0,1,0.675,52,11.85,56,20.496,33,0.209,50,0.0,1,0.0009609,0,PZ26tBox,-16.011,PZ26tBox_Ding_3
Das,3,16.085,15,20.148,13,0.798,9,0.951,2,-1.0,19,0.744,12,3.09,25,19.577,25,0.231,23,0.0,1,0.001104,0,PZ26tBox,-16.085,PZ26tBox_Das_3
FARFAR2,10,16.085,15,20.148,13,0.798,9,0.951,2,-1.0,19,0.744,12,3.09,25,19.577,25,0.231,23,0.0,1,0.001104,0,PZ26tBox,-16.085,PZ26tBox_FARFAR2_10
Das,4,16.286,17,21.309,28,0.764,31,0.88,44,0.0,1,0.729,19,2.58,21,18.549,13,0.234,20,0.0,1,0.001593,0,PZ26tBox,-16.286,PZ26tBox_Das_4
FARFAR2,2,16.286,17,21.309,28,0.764,31,0.88,44,0.0,1,0.729,19,2.58,21,18.549,13,0.234,20,0.0,1,0.001593,0,PZ26tBox,-16.286,PZ26tBox_FARFAR2_2
Das,10,16.291,19,20.516,18,0.794,13,0.951,2,0.0,1,0.738,15,3.09,25,15.028,1,0.22,32,0.0,1,0.001608,0,PZ26tBox,-16.291,PZ26tBox_Das_10
Das,1,16.356,20,20.956,23,0.78,19,0.929,10,0.0,1,0.729,19,2.06,18,16.821,3,0.252,16,0.0,1,0.001805,0,PZ26tBox,-16.356,PZ26tBox_Das_1
Bujnicki,2,16.428,21,20.937,22,0.785,17,0.851,53,-1.0,19,0.765,6,2.06,18,20.968,39,0.192,64,0.0,1,0.002051,0,PZ26tBox,-16.428,PZ26tBox_Bujnicki_2
Das,2,16.452,22,22.102,41,0.744,48,0.88,44,0.0,1,0.71,37,3.61,32,18.51,11,0.197,61,0.0,1,0.002141,0,PZ26tBox,-16.452,PZ26tBox_Das_2
FARFAR2,1,16.452,22,22.102,41,0.744,48,0.88,44,0.0,1,0.71,37,3.61,32,18.51,11,0.197,61,0.0,1,0.002141,0,PZ26tBox,-16.452,PZ26tBox_FARFAR2_1
TFN,8,16.493,24,21.837,36,0.755,38,0.88,44,-1.0,19,0.706,43,5.15,41,19.954,28,0.226,26,0.0,1,0.002299,0,PZ26tBox,-16.493,PZ26tBox_TFN_8
Ding,1,16.507,25,20.278,15,0.814,2,0.895,36,-1.0,19,0.785,1,14.94,60,20.579,34,0.218,39,0.0,1,0.002355,0,PZ26tBox,-16.507,PZ26tBox_Ding_1
SimRNA,3,16.588,26,22.052,38,0.752,44,0.923,19,-1.0,19,0.683,49,90.39,61,23.69,49,0.287,4,0.0,1,0.002706,0,PZ26tBox,-16.588,PZ26tBox_SimRNA_3
SimRNA,5,16.597,27,20.014,12,0.829,1,0.951,2,-1.0,19,0.78,3,163.4,66,21.842,41,0.202,57,0.0,1,0.00275,0,PZ26tBox,-16.597,PZ26tBox_SimRNA_5
Das,7,16.617,28,21.487,32,0.773,24,0.929,10,-1.0,19,0.716,30,1.55,13,17.418,4,0.269,7,0.0,1,0.002844,0,PZ26tBox,-16.617,PZ26tBox_Das_7
FARFAR2,6,16.617,28,21.487,32,0.773,24,0.929,10,-1.0,19,0.716,30,1.55,13,17.418,4,0.269,7,0.0,1,0.002844,0,PZ26tBox,-16.617,PZ26tBox_FARFAR2_6
Das,8,16.642,30,22.072,39,0.754,40,0.901,29,0.0,1,0.708,40,1.03,7,18.847,17,0.22,32,0.0,1,0.00297,0,PZ26tBox,-16.642,PZ26tBox_Das_8
FARFAR2,7,16.642,30,22.072,39,0.754,40,0.901,29,0.0,1,0.708,40,1.03,7,18.847,17,0.22,32,0.0,1,0.00297,0,PZ26tBox,-16.642,PZ26tBox_FARFAR2_7
TFN,6,16.706,32,21.251,27,0.786,16,0.895,36,-1.0,19,0.751,9,8.76,50,20.041,29,0.221,31,0.0,1,0.003306,0,PZ26tBox,-16.706,PZ26tBox_TFN_6
iFoldRNA,1,16.828,33,21.355,30,0.788,15,0.947,8,-1.0,19,0.729,19,103.04,62,23.256,47,0.219,38,0.0,1,0.004052,0,PZ26tBox,-16.828,PZ26tBox_iFoldRNA_1
Bujnicki,3,16.852,34,21.362,31,0.789,14,0.975,1,-1.0,19,0.723,24,3.09,25,20.861,37,0.213,45,0.0,1,0.004209,0,PZ26tBox,-16.852,PZ26tBox_Bujnicki_3
Bujnicki,4,16.877,35,22.106,43,0.763,34,0.929,10,0.0,1,0.71,37,0.0,1,18.454,10,0.226,26,0.0,1,0.004389,0,PZ26tBox,-16.877,PZ26tBox_Bujnicki_4
TFN,2,16.893,36,22.254,45,0.759,35,0.901,29,-1.0,19,0.708,40,4.12,35,18.805,16,0.207,51,0.0,1,0.004502,0,PZ26tBox,-16.893,PZ26tBox_TFN_2
SimRNA,1,17.096,37,21.108,24,0.81,5,0.901,29,-1.0,19,0.777,4,133.95,63,20.082,30,0.216,41,0.0,1,0.006227,0,PZ26tBox,-17.096,PZ26tBox_SimRNA_1
Chen,5,17.121,38,21.947,37,0.78,19,0.923,19,-1.0,19,0.719,29,5.15,41,28.039,64,0.203,55,0.0,1,0.006477,0,PZ26tBox,-17.121,PZ26tBox_Chen_5
TFN,9,17.312,39,22.518,47,0.769,27,0.88,44,0.0,1,0.736,16,5.67,46,20.393,32,0.269,7,0.0,1,0.008676,0,PZ26tBox,-17.312,PZ26tBox_TFN_9
Das,9,17.346,40,21.743,34,0.798,9,0.929,10,-1.0,19,0.745,10,3.09,25,16.679,2,0.227,25,0.0,1,0.009131,0,PZ26tBox,-17.346,PZ26tBox_Das_9
Ding,2,17.375,41,22.365,46,0.777,21,0.923,19,-1.0,19,0.716,30,10.82,55,20.792,35,0.263,11,0.0,1,0.009535,0,PZ26tBox,-17.375,PZ26tBox_Ding_2
Chen,6,17.387,42,24.112,50,0.721,55,0.895,36,-1.0,19,0.643,55,4.12,35,27.649,62,0.198,60,0.0,1,0.009706,0,PZ26tBox,-17.387,PZ26tBox_Chen_6
Bujnicki,1,17.693,43,22.124,44,0.8,7,0.951,2,-1.0,19,0.744,12,0.0,1,19.292,23,0.222,30,0.0,1,0.01511,0,PZ26tBox,-17.693,PZ26tBox_Bujnicki_1
